Brand,Frame,Head size,Stiffness,Recommended tension,Composition,Power level,Swing speed
Yonex,VCORE Si 100,100 sq. in. / 645.16 sq. cm.,Very high - 80% (71 RA),45-60 pounds,H.M. Graphite / Black Micro Core / Nanometric,Low-Medium,Fast
Yonex,VCORE Si 100 Lite,100 sq. in. / 645.16 sq. cm.,High - 66% (68 RA),45-60 pounds,H.M. Graphite / Black Micro Core / Nanometric,Low-Medium,Medium-Fast
Yonex,VCORE Si 105,105 sq. in. / 677.42 sq. cm.,High - 61% (67 RA),45-60 pounds,Graphite,Medium,Medium
Yonex,VCORE Si 98,98 sq. in. / 632.26 sq. cm.,High - 76% (70 RA),50-65 pounds,H.M. Graphite / Black Micro Core / Nanometric,Low-Medium,Fast
Yonex,VCORE Si 98 Lite,98 sq. in. / 632.26 sq. cm.,High - 66% (68 RA),45-60 pounds,H.M. Graphite / Black Micro Core / Nanometric,Low-Medium,Fast
Yonex,VCORE Si Team,98 sq. in. / 632.26 sq. cm.,Average - 52% (65 RA),45-60 pounds,H.M. Graphite / Black Micro Core / Nanometric,Low-Medium,Medium-Fast
Yonex,VCORE SV 100,100 sq. in. / 645 sq. cm.,High - 71% (69 RA),45-60 pounds,H.M. Graphite/ Black Micro Core/Nanometric XT,Low-Medium,Fast
Yonex,VCORE SV 100 Lite,100 sq. in. / 645 sq. cm.,High - 71% (69 RA),45-60 pounds,H.M. Graphite/ Black Micro Core/Nanometric XT,Low-Med,Fast
Yonex,VCORE SV 100+,100 sq. in. / 645.16 sq. cm.,High - 76% (70 RA),45-60 pounds,"HM Graphite, Black Micro Core, Nanometric XT",Low-Medium,Medium-Fast
Yonex,VCORE SV 100S,100 sq. in. / 645.16 sq. cm.,High - 71% (69 RA),40-55 pounds,H.M. Graphite/ Black Micro Core/Nanometric XT,Low-Medium,Medium-Fast
Yonex,VCORE SV 95,95 sq. in. / 613 sq. cm.,Average - 52% (65 RA),45-60 pounds,H.M. Graphite/ Black Micro Core/Nanometric XT,Low,Fast
Yonex,VCORE SV 98,98 sq. in. / 630 sq. cm.,High - 61% (67 RA),45-60 pounds,H.M. Graphite/ Black Micro Core/Nanometric XT,Low-Medium,Fast
Yonex,VCORE SV 98 Lite,98 sq. in. / 630 sq. cm.,Average - 52% (65 RA),45-60 pounds,H.M. Graphite/ Black Micro Core/Nanometric XT,Low-Med,Med-Fast
Yonex,VCORE SV 98+,98 sq. in. / 632.26 sq. cm.,High - 66% (68 RA),45-60 pounds,"HM Graphite, Black Micro Core, Nanometric XT",Low-Medium,Medium-Fast
Yonex,VCORE Team,98 sq. in MP,Average - 42% (63 RA),,Graphite,Low-Medium,Moderate-Fast
Yonex,VCORE Tour 89,89 sq. in. / 574.19 sq. cm.,Average - 47% (64 RA),50-65 pounds,Micro Core / X-Fullerene,Low,Fast
Yonex,VCORE Tour 97 (310g),97 sq. in. / 625.81 sq. cm.,High - 61% (67 RA),50-65 pounds,: H.M. Graphite / X-Fullerene/ Micro Core,Low,Fast
Yonex,VCORE Tour 97 (330g),97 sq. in. / 625.81 sq. cm.,Average - 57% (66 RA),50-65 pounds,Micro Core / X-Fullerene,Low,Fast
Yonex,VCORE Tour F 93,93 sq. in. / 600 sq. cm.,Average - 47% (64 RA),50-65 pounds,H.M. Graphite/ Black Micro Core/ Nanometric,Low,Fast
Yonex,VCORE Tour F 97 (290g),97 sq. in. / 625.81 sq. cm.,Average - 57% (66 RA),50-65 pounds,H.M. Graphite/ Black Micro Core/ Nanometric,Low,Fast
Yonex,VCORE Tour F 97 (310g),97 sq. in. / 625.81 sq. cm.,Average - 57% (66 RA),50-65 pounds,H.M. Graphite / Black Micro Core / Nanometric,Low,Fast
Yonex,VCORE Tour G 310,97 sq. in. / 625.81 sq. cm.,Average - 42% (63 RA),50-65 pounds,"H.M. Graphite, Micro Core",Low,Fast
Yonex,VCORE Tour G 330 (Wawrinka),97 sq. in. / 625.81 sq. cm.,Average - 42% (63 RA),50-65 pounds,"H.M. Graphite, Micro Core",Low,Fast
Yonex,VCORE Tour HG 330 (Wawrinka),97 sq. in. / 625.81 sq. cm.,Average - 42% (63 RA),50-65 pounds,"H.M. Graphite, Micro Core",Low,Fast
Yonex,VCORE Xi 100,100 sq. in. / 645.16 sq. cm.,Very high - 80% (71 RA),45-60 pounds,H.M. Graphite / X-Fullerene/ Micro Core,Low-Medium,Medium-Fast
Yonex,VCORE Xi 100 Lite,100 sq. in. / 645.16 sq. cm.,High - 61% (67 RA),45-60 pounds,H.M. Graphite / X-Fullerene/ Micro Core,Low-Medium,Medium-Fast
Yonex,VCORE Xi 98,98 sq. in. / 632.26 sq. cm.,High - 71% (69 RA),50-65 pounds,H.M. Graphite / X-Fullerene/ Micro Core,Low-Medium,Fast
Yonex,VCORE Xi Team,98 sq. in. / 632.26 sq. cm.,High - 61% (67 RA),45-60 pounds,Graphite,Low-Medium,Medium-Fast
Yonex,VCORE Xi Team Plus,98 sq. in. / 632.26 sq. cm.,Average - 57% (66 RA),50-60 pounds,Graphite,Low-Medium,Medium-Fast
