string_id,String,Ref. Ten. (lbs),Swing Speed,Material,Stiffness (lb/in),Tension Loss (%),Spin Potential
Diadem Elite XT 16 - 51 - Fast,Diadem Elite XT 16,51,Fast,Polyester,204.6,40.4,8.7
Diadem Elite XT 17 - 51 - Fast,Diadem Elite XT 17,51,Fast,Polyester,189.2,31.7,9.3
Wilson Enduro Gold 16 - 51 - Fast,Wilson Enduro Gold 16,51,Fast,Polyester,213.7,47.1,
Wilson Enduro Mono 16L - 51 - Fast,Wilson Enduro Mono 16L,51,Fast,Polyester,230.3,41.5,
Wilson Enduro Pro 16 - 51 - Fast,Wilson Enduro Pro 16,51,Fast,Polyester,219.5,36.3,4.7
Wilson Enduro Pro 17 (1.25) - 51 - Fast,Wilson Enduro Pro 17 (1.25),51,Fast,Nylon/Polyester,226.9,32.9,4.0
Wilson Enduro Tour 16 - 51 - Fast,Wilson Enduro Tour 16,51,Fast,Polyester,251.5,37.6,5.2
Wilson Enduro Tour 17 - 51 - Fast,Wilson Enduro Tour 17,51,Fast,Polyester,169.7,62.4,4.8
Wilson Enduro Tour 18 - 51 - Fast,Wilson Enduro Tour 18,51,Fast,Polyester,159.4,63.7,
IsoSpeed Energetic 17 - 51 - Fast,IsoSpeed Energetic 17,51,Fast,Nylon/Polyolefin,156.6,34.3,1.9
IsoSpeed Energetic Plus 16 - 51 - Fast,IsoSpeed Energetic Plus 16,51,Fast,Nylon/Polyester,155.4,22.4,2.4
Poly Star Energy 16 (1.30) - 51 - Fast,Poly Star Energy 16 (1.30),51,Fast,Polyester,173.2,66.3,4.0
Poly Star Energy 16L (1.25) - 51 - Fast,Poly Star Energy 16L (1.25),51,Fast,Polyester,169.7,68.0,3.7
Poly Star Energy 17 (1.20) - 51 - Fast,Poly Star Energy 17 (1.20),51,Fast,Polyester,165.2,63.6,4.0
Gamma ESP 16 - 51 - Fast,Gamma ESP 16,51,Fast,Nylon,157.7,27.1,2.6
Head ETS 16 - 51 - Fast,Head ETS 16,51,Fast,Nylon,156.0,24.7,1.9
Head ETS 17 - 51 - Fast,Head ETS 17,51,Fast,Nylon,152.0,21.3,1.9
Klip Excellerator 16/1.30 - 51 - Fast,Klip Excellerator 16/1.30,51,Fast,Nylon,160.6,20.1,2.7
Weiss Cannon Explosiv 1.30 - 51 - Fast,Weiss Cannon Explosiv 1.30,51,Fast,Nylon,150.9,25.3,4.0
Dunlop Explosive 16 - 51 - Fast,Dunlop Explosive 16,51,Fast,Polyester,233.2,35.8,4.8
Dunlop Explosive 17 (1.26) - 51 - Fast,Dunlop Explosive 17 (1.26),51,Fast,Polyester,192.0,32.4,5.1
Dunlop Explosive 18 (1.20) - 51 - Fast,Dunlop Explosive 18 (1.20),51,Fast,Polyester,194.3,28.7,5.0
Dunlop Explosive Bite 17 (1.27) - 51 - Fast,Dunlop Explosive Bite 17 (1.27),51,Fast,Polyester,201.7,28.3,
Dunlop Explosive Poly Max 16 - 51 - Fast,Dunlop Explosive Poly Max 16,51,Fast,Nylon/Polyester,158.3,23.5,3.4
Dunlop Explosive Speed 17 (1.25) - 51 - Fast,Dunlop Explosive Speed 17 (1.25),51,Fast,Polyester,249.7,17.6,
Dunlop Explosive Synthetic 16 - 51 - Fast,Dunlop Explosive Synthetic 16,51,Fast,Nylon,179.5,20.6,3.6
Dunlop Explosive Synthetic Gut 17 - 51 - Fast,Dunlop Explosive Synthetic Gut 17,51,Fast,Nylon,175.5,18.3,
Dunlop Explosive Tour 16 (1.30) - 51 - Fast,Dunlop Explosive Tour 16 (1.30),51,Fast,Polyester,200.6,48.2,
Wilson Extreme 16 Synthetic Gut - 51 - Fast,Wilson Extreme 16 Synthetic Gut,51,Fast,Nylon,174.3,20.0,3.2
Head Fibergel Power 16 - 51 - Fast,Head Fibergel Power 16,51,Fast,Nylon,153.2,32.8,3.0
Head Fibergel Power 17 - 51 - Fast,Head Fibergel Power 17,51,Fast,Nylon,161.2,24.5,3.1
Head Fibergel Spin 16 - 51 - Fast,Head Fibergel Spin 16,51,Fast,Nylon,168.6,25.0,3.5
Babolat FiberTour 16 - 51 - Fast,Babolat FiberTour 16,51,Fast,Nylon,163.4,22.8,3.1
Signum Pro Firestorm 1.25 - 51 - Fast,Signum Pro Firestorm 1.25,51,Fast,Polyester,197.7,46.4,4.8
Signum Pro Firestorm 16 (1.30) - 51 - Fast,Signum Pro Firestorm 16 (1.30),51,Fast,Polyester,185.7,43.0,5.5
Kirschbaum Flash 16 (1.30) - 51 - Fast,Kirschbaum Flash 16 (1.30),51,Fast,Polyester,192.6,36.7,
MSV Focus Evo 16 - 51 - Fast,MSV Focus Evo 16,51,Fast,Polyester,226.3,44.4,4.9
MSV Focus Evo 17 - 51 - Fast,MSV Focus Evo 17,51,Fast,Polyester,206.9,46.1,4.5
MSV Focus Hex 17L (1.18) - 51 - Fast,MSV Focus Hex 17L (1.18),51,Fast,Polyester,224.0,27.5,6.5
MSV Focus Hex Soft 17 (1.25) - 51 - Fast,MSV Focus Hex Soft 17 (1.25),51,Fast,Polyester,228.0,29.4,6.3
MSV Focus Hex Soft 17L (1.20) - 51 - Fast,MSV Focus Hex Soft 17L (1.20),51,Fast,Polyester,194.3,25.8,7.3
MSV Focus-Hex +38 16L (1.25) - 51 - Fast,MSV Focus-Hex +38 16L (1.25),51,Fast,Polyester,173.2,53.5,7.7
MSV Focus-Hex 16 (1.23) - 51 - Fast,MSV Focus-Hex 16 (1.23),51,Fast,Polyester,218.9,29.1,7.5
MSV Focus-Hex 16 (1.27) - 51 - Fast,MSV Focus-Hex 16 (1.27),51,Fast,Polyester,185.7,43.3,8.6
Head FXP 16 - 51 - Fast,Head FXP 16,51,Fast,Nylon/Polyester,165.2,22.8,3.8
Head FXP 17 - 51 - Fast,Head FXP 17,51,Fast,Nylon,173.2,20.5,4.1
Head FXP Power 16 - 51 - Fast,Head FXP Power 16,51,Fast,Nylon,194.3,25.6,4.6
Head FXP Power 17 - 51 - Fast,Head FXP Power 17,51,Fast,Nylon,163.4,22.2,4.5
Head FXP Tour 16 - 51 - Fast,Head FXP Tour 16,51,Fast,Nylon/Polyester,116.6,22.8,4.2
Gamma FXT 16 (1.30) - 51 - Fast,Gamma FXT 16 (1.30),51,Fast,Nylon,157.2,15.0,5.0
Gamma FXT 17 (1.24) - 51 - Fast,Gamma FXT 17 (1.24),51,Fast,Nylon,154.3,12.0,4.8
Gosen G-Tour 16 (1.30) - 51 - Fast,Gosen G-Tour 16 (1.30),51,Fast,Polyester,184.0,31.1,5.3
Gamma Glide Cross String 16 - 51 - Fast,Gamma Glide Cross String 16,51,Fast,Nylon,133.2,22.7,3.2
Volkl Gripper 16 - 51 - Fast,Volkl Gripper 16,51,Fast,Nylon,153.2,22.0,
Volkl Gripper 17 - 51 - Fast,Volkl Gripper 17,51,Fast,Nylon,138.3,24.5,4.4
Alpha Gut 2000 16 - 51 - Fast,Alpha Gut 2000 16,51,Fast,Nylon,159.4,16.5,3.1
Klip Hardcore 16/1.30 - 51 - Fast,Klip Hardcore 16/1.30,51,Fast,Polyester,193.2,49.8,4.7
Head Hawk 16 (1.30) - 51 - Fast,Head Hawk 16 (1.30),51,Fast,Polyester,230.3,28.5,6.4
Head Hawk 17 (1.25) - 51 - Fast,Head Hawk 17 (1.25),51,Fast,Polyester,204.6,32.9,4.7
Head Hawk 18 (1.20) - 51 - Fast,Head Hawk 18 (1.20),51,Fast,Polyester,194.3,28.9,6.3
Head Hawk Power 17 (1.25) - 51 - Fast,Head Hawk Power 17 (1.25),51,Fast,Polyester,203.5,48.3,7.5
Head Hawk Rough 17 - 51 - Fast,Head Hawk Rough 17,51,Fast,Polyester,201.2,23.9,4.9
Head Hawk Touch 18 (1.20) - 51 - Fast,Head Hawk Touch 18 (1.20),51,Fast,Polyester,196.0,31.9,5.2
Head Hawk Touch 19 (1.15) - 51 - Fast,Head Hawk Touch 19 (1.15),51,Fast,Polyester,192.0,32.8,4.9
Tecnifibre HDX Tour 16 (1.30) - 51 - Fast,Tecnifibre HDX Tour 16 (1.30),51,Fast,Nylon/Polyester,149.2,12.0,4.3
Tecnifibre HDX Tour 17 (1.24) - 51 - Fast,Tecnifibre HDX Tour 17 (1.24),51,Fast,Nylon/Polyurethane,144.0,10.9,5.7
Kirschbaum Helix 16 - 51 - Fast,Kirschbaum Helix 16,51,Fast,Polyester,204.6,55.3,5.4
